tripduration,start station name,end station name,bikeid,usertype,birth year,age,gender
499,Sip Ave,McGinley Square,29590,Subscriber,1979,38,Male
507,Newark Ave,Communipaw & Berry Lane,29453,Subscriber,1969,48,Male
768,Sip Ave,West Side Light Rail,26193,Subscriber,1962,55,Male
101,City Hall,Van Vorst Park,29284,Subscriber,1983,34,Male
265,Manila & 1st,Monmouth and 6th,29645,Subscriber,1980,37,Female
588,City Hall,Lafayette Park,29230,Subscriber,1986,31,Male
345,Manila & 1st,Jersey & 6th St,26177,Subscriber,1985,32,Male
764,City Hall,Garfield Ave Station,29678,Subscriber,1991,26,Male
257,Jersey & 3rd,Monmouth and 6th,26299,Subscriber,1972,45,Male
315,Hamilton Park,Warren St,26264,Subscriber,1964,53,Male
379,Warren St,Hamilton Park,26264,Subscriber,1964,53,Male
625,City Hall,Lafayette Park,29270,Subscriber,1984,33,Male
284,Hamilton Park,Newport PATH,26264,Subscriber,1964,53,Male
185,McGinley Square,Sip Ave,26208,Subscriber,1973,44,Female
204,Monmouth and 6th,Grove St PATH,29679,Subscriber,1986,31,Female
340,Manila & 1st,Brunswick & 6th,29522,Subscriber,1981,36,Male
115,Marin Light Rail,Grove St PATH,29487,Subscriber,1985,32,Male
892,Oakland Ave,City Hall,26182,Subscriber,1984,33,Female
541,Baldwin at Montgomery,Grove St PATH,29555,Subscriber,1979,38,Male
787,North St,Sip Ave,29673,Subscriber,1990,27,Male
140,Dixon Mills,Grove St PATH,29460,Subscriber,1982,35,Male
386,Sip Ave,Astor Place,26208,Subscriber,1992,25,Male
186,Brunswick & 6th,Grove St PATH,29644,Subscriber,1985,32,Male
1445,Hamilton Park,JC Medical Center,26207,Subscriber,1963,54,Male
112,Essex Light Rail,Exchange Place,26236,Subscriber,1979,38,Male
153,Jersey & 6th St,Brunswick & 6th,26263,Subscriber,1964,53,Male
278,Van Vorst Park,Hamilton Park,26169,Subscriber,28,28,Male
239,Van Vorst Park,Columbus Drive,29516,Subscriber,1985,32,Male
1083,Morris Canal,Warren St & Church St,29267,Subscriber,56,56,Male
220,Brunswick & 6th,Grove St PATH,29451,Subscriber,28,28,Female
337,Hamilton Park,Grove St PATH,29657,Subscriber,39,39,Female
154,McGinley Square,Sip Ave,29124,Subscriber,1981,36,Male
218,Hamilton Park,Grove St PATH,29276,Subscriber,29,29,Male
752,JC Medical Center,Liberty Light Rail,26207,Subscriber,1963,54,Male
135,Morris Canal,Paulus Hook,29264,Subscriber,1983,34,Male
